Ref,Qty,Description,Value / Spec,Package,Source / PN,Status,Lead,Notes
J7-J10,4,Satellite encoder connectors,JST-GH 5-pin,SM05B-GHS-TB,spec,Commodity,Stock,"DNP. Populating these instead of ENC1-4 makes thumb encoders remote — assembly-time decision, no respin (hardware-selections 4.1b)"
D9-D12,4,Satellite line clamp,BAV99,SOT-23,BAV99,Active,Stock,DNP — fit only if the matching satellite connector is fitted
,,=== DISPLAY (3.6) ===,,,,,,
DS1,1,Wheel display,"Sharp memory-in-pixel LCD 1.26"" 144x168 reflective",FPC tail,LCSC C17500193 / LS013B7DH05,Active (materials PCN),Stock,"~$6.93 LCSC and JLC-assemblable. Re-verify optical spec of the delivered revision (lesson L6)"
J3,1,Display FPC connector,10-pin 0.5mm ZIF bottom-contact,SMD,spec — select at capture,Commodity,Stock,"CHECK contact side: top-contact parts flip the pinout"
C75;C76,2,Display decoupling,100nF + 1uF,0402,spec,Commodity,Stock,At the connector
,,=== CONNECTOR / OFF-BOARD ===,,,,,,
J1,1,Wheel-to-car connector,Deutsch DTM 6-way panel,DTM04-6P,DTM04-6P + DTM06-6S + wedges + gold sockets,Active,Stock,"Pin 1 = +12V_IN (Rev B). Pigtail to PCB. ~$8/pair"
,1,Debug programming footprint,Tag-Connect TC2030-CTX,copper + 3 locating holes,n/a (no BOM cost),n/a,n/a,Needs the TC2030 cable — one per team not per board
,2,Paddle switch (off-board),Snap-action microswitch NO to GND,panel,Honeywell/ZF V15 or D4 class,Active,Stock,Mechanical selection follows the paddle design
