Ref,Qty,Description,Value / Spec,Package,Source / PN,Status,Lead,Notes
J3,1,USB-C receptacle,USB 2.0 16-pin,SMD,LCSC C165948,Active,Stock,
U5,1,USB ESD protection,4-line,SOT-23-6,USBLC6-2SC6,Active,Stock,
R7;R8,2,CC pull-downs,5.1k 1%,0402,spec,Commodity,Stock,
,,=== DAQ ANALOG FRONT END x8 (1.2) ===,,,,,,
R9-R16,8,AFE series limiter,10k 1%,0402,spec,Commodity,Stock,Limits a 12V-shorted sensor line to ~0.6mA into the clamps
R17-R24,8,AFE divider lower leg,10k 1%,0402,spec,Commodity,Stock,Divide-by-2: 0-5V sensor -> 0-2.5V at ADC
C24-C31,8,AFE filter,100nF,0402,spec,Commodity,Stock,fc ~320Hz — retune per channel if a fast signal is needed
D6-D13,8,AFE clamp,BAT54S dual series Schottky,SOT-23,BAT54S,Active,Stock,Clamps to +3V3 and GND
U6,1,Optional AFE buffer,quad rail-to-rail op-amp,TSSOP-14,TLV9004,Active,Stock,DNP — 0 ohm jumpers by default. Fit only if a sensor needs low-impedance drive
,,=== ARB SERVO OUTPUTS x2 (1.2b) ===,,,,,,
U7,1,Servo signal buffer,74AHCT2G125 dual buffer 5V,VSSOP-8,74AHCT2G125,Active,Stock,"One package covers both channels. AHCT mandatory (TTL VIH 2.0V accepts 3.3V logic)"
C32,1,Buffer decoupling,100nF,0402,spec,Commodity,Stock,
R25;R26,2,Servo fault-current limiter,100 ohm 1% 0.25W,0805,spec,Commodity,Stock,"12V short -> only ~70mA into the clamp. Also damps ringing on a multi-metre run"
D14;D15,2,Servo line TVS,SMAJ5.0A,SMA,SMAJ5.0A,Active,Stock,At the connector — clamp before the transient travels
,,=== DISPLAY (1.3) ===,,,,,,
DS1,1,Dash display,"Riverdi EVE4 5.0"" 800x480 IPS 1000 cd/m2 BT817Q SPI/QSPI",module + FPC,RVT50HQBNWN00,Active,LONG / THIN STOCK,"*** ORDER FIRST *** Single-source, distributor stock seen in low single digits. Buy a spare. Nothing else in the build depends on ordering PCBs first"
J4,1,Display FPC connector,20-pin 0.5mm ZIF,SMD,spec — select at capture,Commodity,Stock,"Transcribe the pin table of the PURCHASED module revision — revisions have moved pins (lesson L6)"
C33-C35,3,Display decoupling,22uF + 1uF + 100nF,0805/0402,spec,Commodity,Stock,At the connector. Backlight driver is on-module
R27;R28,2,SPI series damping,22 ohm,0402,spec,Commodity,Stock,On SCK/MOSI at the MCU — ringing control at 30MHz
,,=== LOCAL BUTTONS (optional) ===,,,,,,
SW1-SW3,3,Page / brightness buttons,IP67 tactile,SMT,C&K KSC4 series,Active,Stock,Same conditioning cell as the wheel
R29-R31,3,Series limiter,1k 1%,0402,spec,Commodity,Stock,
R32-R34,3,Pull-up,10k 1%,0402,spec,Commodity,Stock,
C36-C38,3,Filter,100nF,0402,spec,Commodity,Stock,
,,=== ALARM LED STRIP (optional) ===,,,,,,
U8,1,LED data buffer,74AHCT1G125,SOT-353,74AHCT1G125,Active,Stock,DNP by default
,,=== CONNECTORS ===,,,,,,
J1,1,Power / bus / servo-signal connector,Deutsch DTM 12-way (positions 1-6 used),DTM04-12P,DTM04-12P + mate + wedges + sockets,Active,Stock,"1=+12V 2=GND 3=CANH 4=CANL 5=SERVO1_PWM 6=SERVO2_PWM. Servo signals reference J1 GND (lesson L13)"
J2,1,DAQ connector,Deutsch DTM 12-way,DTM04-12P,DTM04-12P + mate + wedges + sockets,Active,Stock,"1-6=AIN1-6  7-8=ARB position feedback  9=+5V_SENS  10-12=GND_SENS"
,1,Debug programming footprint,Tag-Connect TC2030-CTX,copper + locating holes,n/a,n/a,n/a,
,,=== OFF-BOARD: SERVO BRANCH (harness — NOT on this PCB) ===,,,,,,
,1,Servo BEC / regulator,12V -> 7.4V sized for 2x stall (~10A class),harness module,select once A6 is closed,n/a,TBD,"Ground MUST star back to dash GND or the PWM reference floats. Interim harness deliverable — reviewed under the same gates (rigor 5A)"
,1,Servo branch fuse,per BEC rating,harness,spec,n/a,TBD,Independently fusible and killable without taking the dash down
,2,ARB servo,high-torque digital servo,n/a,per vehicle dynamics team,n/a,TBD,"Assumption A6. If serial-bus servos (Dynamixel class) are chosen, the dash output stage changes from PWM to half-duplex UART — decide BEFORE layout"
,2,ARB position sensor,0-5V rotary,n/a,spec,n/a,TBD,Servo pot tap or external rotary sensor -> AIN7/AIN8
